CDHI: CHID, DICH
CHIK: CHIK, HICK
CHIN: CHIN, INCH
CCHO: CHOC, COCH
CHOU: CHOU, OUCH
CHMU: CHUM, MUCH
CDIS: CIDS, DISC
CEIN: CINE, NICE
CEIV: CIVE, VICE
ACLT: CLAT, TALC
CDLO: CLOD, COLD
CLOT: CLOT, COLT
CLOW: CLOW, COWL
CLOY: CLOY, COLY
CELU: CLUE, LUCE
ACOX: COAX, COXA
CDOS: CODS, DOCS
CGOS: COGS, SCOG
CILO: COIL, LOCI
CKOY: COKY, YOCK
CMOS: COMS, MOCS
CENO: CONE, ONCE
CKNO: CONK, NOCK
CLOO: COOL, LOCO
COOP: COOP, POCO
COOT: COOT, TOCO
COPS: COPS, SCOP
CKOR: CORK, ROCK
COSS: COSS, SOCS
COSY: COSY, COYS
CKOW: COWK, WOCK
COSW: COWS, SCOW
ACMR: CRAM, MARC
ACRY: CRAY, RACY
CEMR: CREM, MERC
CDRU: CRUD, CURD
CDSU: CUDS, SCUD
CDEU: CUED, DUCE
CESU: CUES, ECUS
CFIU: CUIF, FUCI
CMSU: CUMS, SCUM
CHSU: CUSH, SUCH
CKSU: CUSK, SUCK
CSTU: CUTS, SCUT
ADES: DAES, SADE
ADGO: DAGO, GOAD
ADGS: DAGS, GADS
ADHL: DAHL, DHAL
ADLS: DALS, LADS
